# Dados de exemplo para análise do sistema de irrigação FarmTech Solutions
# Formato CSV com dados simulados de sensores IoT

timestamp,nitrogen,phosphorus,potassium,ph,humidity,temperature,rain_forecast,irrigation_needed
2024-01-01 08:00:00,1,1,0,6.2,45.3,23.5,0,1
2024-01-01 08:30:00,1,0,1,6.8,52.7,24.1,0,0
2024-01-01 09:00:00,0,1,1,7.1,38.9,25.2,0,1
2024-01-01 09:30:00,1,1,1,6.5,71.2,26.0,0,0
2024-01-01 10:00:00,0,0,1,7.8,41.5,27.3,0,0
2024-01-01 10:30:00,1,0,0,6.3,33.8,28.1,0,1
2024-01-01 11:00:00,0,1,0,6.9,56.2,29.5,1,0
2024-01-01 11:30:00,1,1,0,6.1,48.7,30.2,0,1
2024-01-01 12:00:00,0,0,0,7.5,42.1,31.8,0,0
2024-01-01 12:30:00,1,0,1,6.7,65.4,32.1,0,0
2024-01-01 13:00:00,0,1,1,6.4,39.6,33.0,0,1
2024-01-01 13:30:00,1,1,1,6.2,58.3,31.7,0,0
2024-01-01 14:00:00,0,0,1,7.2,44.9,30.5,1,0
2024-01-01 14:30:00,1,0,0,6.6,35.7,29.8,0,1
2024-01-01 15:00:00,0,1,0,6.8,61.2,28.9,0,0
2024-01-01 15:30:00,1,1,0,6.3,47.5,27.6,0,1
2024-01-01 16:00:00,0,0,0,7.4,43.8,26.2,0,0
2024-01-01 16:30:00,1,0,1,6.5,68.1,25.1,0,0
2024-01-01 17:00:00,0,1,1,6.7,36.4,24.3,0,1
2024-01-01 17:30:00,1,1,1,6.1,54.9,23.8,1,0
